Problems and optimal solutions 
Preced.   c 
LUTZ3.IN2 97 18
LUTZ3.IN2 103 17
LUTZ3.IN2 110 15
LUTZ3.IN2 118 14
LUTZ3.IN2 127 14
LUTZ3.IN2 137 13
LUTZ3.IN2 150 12
MANSOOR.IN2 48 4
MANSOOR.IN2 62 3
MANSOOR.IN2 94 2
MERTENS.IN2 6 6
MERTENS.IN2 7 5
MERTENS.IN2 8 5
MERTENS.IN2 10 3
MERTENS.IN2 15 2
MERTENS.IN2 18 2
MITCHELL.IN2 14 8
MITCHELL.IN2 15 8
MITCHELL.IN2 21 5
MITCHELL.IN2 26 5
MITCHELL.IN2 35 3
MITCHELL.IN2 39 3
MUKHERJE.IN2 176 25
MUKHERJE.IN2 183 24
MUKHERJE.IN2 192 23
MUKHERJE.IN2 201 22
MUKHERJE.IN2 211 21
MUKHERJE.IN2 222 20
MUKHERJE.IN2 234 19
MUKHERJE.IN2 248 18
MUKHERJE.IN2 263 17
MUKHERJE.IN2 281 16
MUKHERJE.IN2 301 15
MUKHERJE.IN2 324 14
MUKHERJE.IN2 351 13
ROSZIEG.IN2 14 10
ROSZIEG.IN2 16 8
ROSZIEG.IN2 18 8
ROSZIEG.IN2 21 6
ROSZIEG.IN2 25 6
ROSZIEG.IN2 32 4
SAWYER30.IN2 25 14
SAWYER30.IN2 27 13
SAWYER30.IN2 30 12
SAWYER30.IN2 33 11
SAWYER30.IN2 36 10
SAWYER30.IN2 41 8
SAWYER30.IN2 47 7
SAWYER30.IN2 54 7
SAWYER30.IN2 75 5
SCHOLL.IN2 1394 50
SCHOLL.IN2 1422 50
SCHOLL.IN2 1452 48
SCHOLL.IN2 1483 47
SCHOLL.IN2 1515 46
SCHOLL.IN2 1548 46
SCHOLL.IN2 1584 44
SCHOLL.IN2 1620 44
SCHOLL.IN2 1659 42
SCHOLL.IN2 1699 42
SCHOLL.IN2 1742 40
SCHOLL.IN2 1787 39
SCHOLL.IN2 1834 38
SCHOLL.IN2 1883 37
SCHOLL.IN2 1935 36
SCHOLL.IN2 1991 35
SCHOLL.IN2 2049 34
SCHOLL.IN2 2111 33
SCHOLL.IN2 2177 32
SCHOLL.IN2 2247 31
SCHOLL.IN2 2322 30
SCHOLL.IN2 2402 29
SCHOLL.IN2 2488 28
SCHOLL.IN2 2580 27
SCHOLL.IN2 2680 26
SCHOLL.IN2 2787 25
TONGE70.IN2 160 23
TONGE70.IN2 168 22
TONGE70.IN2 176 21
TONGE70.IN2 185 20
TONGE70.IN2 195 19
TONGE70.IN2 207 18
TONGE70.IN2 220 17
TONGE70.IN2 234 16
TONGE70.IN2 251 14
TONGE70.IN2 270 14
TONGE70.IN2 293 13
TONGE70.IN2 320 11
TONGE70.IN2 364 10
TONGE70.IN2 410 9
TONGE70.IN2 468 8
TONGE70.IN2 527 7
WARNECKE.IN2 54 31
WARNECKE.IN2 56 29
WARNECKE.IN2 58 29
WARNECKE.IN2 60 27
WARNECKE.IN2 62 27
WARNECKE.IN2 65 25
WARNECKE.IN2 68 24
WARNECKE.IN2 71 23
WARNECKE.IN2 74 22
WARNECKE.IN2 78 21
WARNECKE.IN2 82 20
WARNECKE.IN2 86 19
WARNECKE.IN2 92 17
WARNECKE.IN2 97 17
WARNECKE.IN2 104 15
WARNECKE.IN2 111 14
WEE-MAG.IN2 28 63
WEE-MAG.IN2 29 63
WEE-MAG.IN2 30 62
WEE-MAG.IN2 31 62
WEE-MAG.IN2 32 61
WEE-MAG.IN2 33 61
WEE-MAG.IN2 34 61
WEE-MAG.IN2 35 60
WEE-MAG.IN2 36 60
WEE-MAG.IN2 37 60
WEE-MAG.IN2 38 60
WEE-MAG.IN2 39 60
WEE-MAG.IN2 40 60
WEE-MAG.IN2 41 59
WEE-MAG.IN2 42 55
WEE-MAG.IN2 43 50
WEE-MAG.IN2 45 38
WEE-MAG.IN2 46 34
WEE-MAG.IN2 47 32
WEE-MAG.IN2 49 32
WEE-MAG.IN2 50 32
WEE-MAG.IN2 52 31
WEE-MAG.IN2 54 31
WEE-MAG.IN2 56 30
